,loudness,acousticness,tempo,energy,danceability
2253,-4.6,0.148,109.95,0.764,0.808
2254,-8.543,0.327,81.027,0.526,0.324
2255,-7.177,0.424,131.93,0.543,0.676
2257,-10.24,0.16,147.956,0.453,0.765
2259,-1.583,0.000724,149.998,0.991,0.541
2262,-9.074,0.794,79.936,0.466,0.685
2265,-7.364,0.0526,134.923,0.715,0.715
2267,-9.681,0.469,119.949,0.443,0.618
2269,-5.797,0.0106,139.98,0.634,0.658
2270,-4.969,0.17,124.859,0.802,0.622
2273,-3.6,0.102,163.837,0.795,0.467
2274,-4.789,0.264,87.272,0.655,0.439
2275,-4.797,0.00783,96.556,0.898,0.473
2276,-3.635,0.241,89.996,0.776,0.608
2277,-5.313,0.0144,124.06,0.702,0.813
2278,-4.812,0.0381,128.028,0.724,0.7
2279,-7.347,0.152,87.188,0.684,0.356
2280,-5.24,0.023,155.827,0.769,0.715
2281,-11.908,0.907,137.993,0.174,0.496
2284,-3.206,0.331,130.218,0.646,0.405
2287,-7.554,0.0344,97.012,0.661,0.703
2288,-5.596,0.00608,118.012,0.736,0.604
2289,-4.855,0.0655,128.114,0.612,0.466
2290,-9.862,0.782,126.995,0.529,0.682
2299,-5.07,0.00797,131.04,0.656,0.73
2303,-9.184,0.272,156.983,0.557,0.622
2304,-1.523,0.0666,128.079,0.978,0.793
2305,-5.982,0.488,104.941,0.699,0.773
2306,-6.081,0.661,146.04,0.457,0.592
2307,-6.913,0.117,113.994,0.636,0.654
2308,-5.862,0.0552,140.291,0.764,0.63
2310,-7.072,0.0279,139.985,0.768,0.707
2312,-4.432,0.0802,135.281,0.824,0.563
2313,-7.863,0.00258,134.966,0.628,0.891
2315,-11.725,0.832,121.972,0.408,0.72
2316,-6.489,0.821,98.666,0.309,0.462
2317,-6.292,0.171,98.052,0.716,0.774
2318,-6.277,0.00305,79.871,0.763,0.436
2319,-5.586,0.076,104.996,0.5,0.594
2320,-6.198,0.384,96.062,0.579,0.707
2325,-5.253,0.211,109.974,0.561,0.845
2328,-5.042,0.00135,172.094,0.764,0.446
2329,-1.986,0.108,150.126,0.89,0.546
2330,-7.86,0.708,81.987,0.55,0.608
2333,-13.673,0.476,76.403,0.511,0.312
2336,-5.305,0.0581,120.034,0.873,0.646
2338,-12.732,0.566,94.011,0.4,0.521
2339,-11.028,0.778,77.195,0.462,0.566
2340,-3.49,0.0347,169.982,0.937,0.468
2342,-8.235,0.573,147.98,0.558,0.678
2345,-5.927,0.0826,139.994,0.797,0.704
2346,-2.739,0.00181,172.878,0.997,0.339
2351,-6.4,0.00979,165.057,0.783,0.579
2352,-8.284,0.883,100.035,0.282,0.6
2353,-11.503,0.0603,113.726,0.681,0.892
2354,-16.353,0.56,91.817,0.195,0.471
2355,-9.452,0.451,139.873,0.438,0.693
2356,-12.177,0.443,164.095,0.324,0.645
2357,-8.273,0.409,81.975,0.402,0.713
2361,-9.404,0.505,110.015,0.524,0.666
2364,-4.181,0.124,120.04,0.898,0.499
2365,-5.154,0.106,101.978,0.731,0.655
2366,-13.13,0.105,80.51,0.352,0.774
2368,-11.931,0.874,77.948,0.414,0.664
2369,-6.228,0.0156,131.966,0.624,0.703
2370,-6.486,0.591,109.764,0.347,0.613
2372,-8.418,0.0586,117.97,0.445,0.731
2373,-5.596,0.697,115.389,0.565,0.437
2374,-5.408,0.0689,143.95,0.538,0.556
2375,-4.67,0.0233,106.0,0.75,0.803
2376,-5.897,0.394,92.996,0.82,0.773
2378,-6.577,0.877,77.213,0.34,0.422
2382,-2.77,0.04,92.511,0.918,0.705
2383,-3.173,0.00223,129.996,0.76,0.699
2384,-6.371,0.0129,154.008,0.557,0.584
2385,-14.594,0.909,139.621,0.381,0.546
2386,-2.856,0.0209,129.011,0.94,0.646
2388,-5.431,0.172,74.474,0.692,0.665
2390,-6.009,0.121,100.964,0.67,0.733
2391,-5.429,0.0746,119.986,0.854,0.599
2392,-2.671,0.00952,125.916,0.906,0.711
2393,-6.596,0.658,84.956,0.439,0.525
2396,-4.354,0.217,139.971,0.72,0.745
2397,-5.658,0.345,137.887,0.768,0.719
2398,-5.73,0.386,110.988,0.443,0.734
2400,-12.486,0.513,84.873,0.405,0.402
2402,-7.153,0.329,121.941,0.357,0.869
2404,-6.04,0.484,110.075,0.541,0.733
2406,-3.899,0.0133,123.047,0.706,0.736
2407,-6.76,0.000483,169.97,0.781,0.466
2408,-7.206,0.465,117.009,0.66,0.725
2409,-11.155,0.193,79.245,0.489,0.538
2410,-7.116,0.0401,124.412,0.455,0.622
2411,-9.345,0.136,67.528,0.417,0.464
2412,-6.44,0.109,125.997,0.841,0.818
2415,-5.83,0.257,99.039,0.694,0.689
2416,-2.876,0.00537,129.998,0.846,0.58
2418,-4.008,0.142,113.26,0.737,0.323
2420,-12.233,0.924,80.401,0.206,0.517
2421,-3.215,0.403,128.011,0.801,0.753
2422,-9.151,0.281,109.956,0.494,0.82
2423,-9.947,0.667,93.999,0.496,0.471
2425,-8.4,0.409,110.018,0.542,0.57
2428,-6.928,0.0474,119.986,0.566,0.817
2429,-7.279,0.408,86.046,0.544,0.612
2431,-5.58,0.00836,99.977,0.727,0.692
2433,-5.862,0.27,133.925,0.644,0.708
2441,-3.673,0.00383,128.04,0.965,0.561
2454,-8.784,0.571,150.999,0.45,0.698
2462,-4.823,0.379,104.954,0.519,0.812
2463,-7.645,0.0924,155.964,0.599,0.647
2464,-5.93,0.427,97.975,0.728,0.782
2466,-6.157,0.0026,115.002,0.846,0.718
2467,-5.549,0.0635,128.057,0.781,0.535
2469,-4.262,0.246,111.089,0.606,0.712
2471,-7.409,0.0203,149.995,0.704,0.736
2472,-5.02,0.0766,127.883,0.611,0.82
2473,-5.624,0.0419,146.936,0.632,0.483
2475,-4.771,0.00532,124.026,0.947,0.755
2478,-6.197,0.22,109.959,0.783,0.65
2480,-7.793,0.0908,136.039,0.697,0.627
2481,-4.251,0.0113,131.147,0.908,0.648
2482,-5.363,0.774,120.894,0.605,0.514
2484,-9.323,0.0016,140.12,0.633,0.47
2485,-5.749,8.67e-05,89.956,0.911,0.485
2486,-5.566,0.698,173.094,0.577,0.656
2489,-10.086,0.866,75.801,0.473,0.464
2490,-4.3,0.0208,90.008,0.864,0.681
2492,-6.555,0.488,94.02,0.666,0.814
2495,-5.942,0.0743,89.948,0.455,0.64
2497,-4.782,0.135,169.533,0.695,0.376
2500,-7.305,0.25,117.992,0.707,0.716
2501,-9.584,0.533,152.855,0.473,0.439
2502,-8.24,0.851,139.785,0.307,0.529
2508,-7.842,0.198,128.012,0.42,0.548
2510,-5.349,0.00248,100.018,0.721,0.667
2511,-5.87,0.00958,105.143,0.864,0.556
2512,-18.326,0.396,96.885,0.221,0.418
2514,-3.899,0.0186,160.031,0.754,0.4
2516,-6.941,0.148,121.963,0.673,0.671
2517,-7.03,0.416,98.967,0.572,0.796
2518,-11.277,0.508,119.961,0.405,0.806
2519,-11.643,0.786,131.946,0.172,0.687
2523,-6.706,0.0503,130.053,0.572,0.518
2524,-3.929,0.0129,143.991,0.708,0.546
2529,-6.107,0.198,120.066,0.727,0.484
2533,-10.837,0.699,94.978,0.363,0.682
2534,-10.837,0.699,94.978,0.363,0.682
2535,-6.036,0.0559,120.061,0.626,0.651
2536,-7.144,0.822,141.929,0.291,0.638
2537,-16.269,0.198,88.022,0.357,0.669
2538,-7.914,0.657,87.452,0.745,0.405
2539,-5.06,0.0558,145.05,0.963,0.733
2540,-4.794,0.39,91.997,0.671,0.639
2546,-6.852,0.401,114.145,0.415,0.728
2547,-7.598,0.587,120.061,0.517,0.754
2548,-4.379,0.142,113.935,0.774,0.752
2549,-7.661,0.338,101.991,0.597,0.731
2550,-6.826,0.337,150.017,0.835,0.576
2553,-6.405,0.556,145.039,0.681,0.647
2555,-7.625,0.526,171.848,0.379,0.562
2556,-8.683,0.68,113.919,0.444,0.598
2557,-4.748,0.0162,105.009,0.884,0.656
2558,-6.972,0.374,95.971,0.463,0.732
2559,-6.09,0.609,76.033,0.465,0.55
2560,-8.29,0.0452,131.992,0.772,0.902
2561,-10.081,0.68,112.985,0.684,0.803
2563,-15.053,0.0352,146.974,0.384,0.548
2566,-10.016,0.805,114.95,0.401,0.504
2567,-8.249,0.915,82.922,0.277,0.604
2568,-9.186,0.641,139.946,0.496,0.496
2569,-6.01,0.131,142.588,0.679,0.524
2572,-8.561,0.0573,99.962,0.812,0.778
2573,-8.023,0.737,100.96,0.347,0.604
2575,-6.644,0.0482,167.916,0.561,0.626
2576,-7.576,0.362,79.968,0.653,0.599
2577,-7.862,0.858,121.723,0.447,0.299
2578,-2.867,0.374,128.005,0.834,0.747
2579,-6.744,0.0107,115.973,0.652,0.677
2580,-6.212,0.0663,133.873,0.71,0.563
2581,-6.702,0.174,80.036,0.421,0.733
2589,-3.724,0.000176,109.976,0.894,0.552
2590,-5.237,0.664,94.049,0.558,0.787
2591,-6.555,0.0205,100.002,0.789,0.696
2593,-5.954,0.0558,71.377,0.609,0.393
2599,-6.739,0.00809,152.056,0.792,0.523
2600,-3.83,0.000967,131.001,0.937,0.661
2603,-7.114,0.49,147.022,0.625,0.755
2604,-11.486,0.785,100.006,0.27,0.596
2605,-6.219,0.171,129.981,0.835,0.572
2606,-8.329,0.00849,127.052,0.61,0.62
2607,-6.973,0.115,106.06,0.697,0.59
2608,-1.325,0.0304,127.975,0.997,0.744
2609,-12.29,0.896,90.042,0.326,0.459
2611,-11.731,0.476,90.025,0.363,0.757
2615,-4.541,0.0264,118.992,0.739,0.822
2616,-5.614,0.618,91.991,0.482,0.747
2620,-4.804,0.312,102.003,0.723,0.547
2622,-10.335,0.727,100.746,0.534,0.689
2623,-12.609,0.41,95.818,0.497,0.749
2624,-5.379,0.0134,109.021,0.841,0.635
2625,-7.407,0.508,152.101,0.555,0.598
2627,-5.972,0.032,100.002,0.641,0.761
2628,-5.5,0.58,128.045,0.812,0.698
2629,-8.834,0.555,115.034,0.435,0.898
2630,-10.352,0.752,149.161,0.407,0.365
2631,-7.155,0.276,95.077,0.558,0.791
2632,-7.978,0.441,171.841,0.612,0.611
2633,-7.55,0.334,90.984,0.492,0.61
2634,-3.515,0.0119,92.502,0.911,0.584
2637,-15.73,0.573,85.941,0.108,0.613
2638,-8.402,0.334,81.989,0.529,0.532
2639,-9.198,0.973,107.914,0.368,0.562
2641,-5.148,0.0182,108.024,0.913,0.709
2644,-9.269,0.73,115.939,0.417,0.707
2647,-4.847,0.143,96.987,0.666,0.825
2649,-6.333,0.101,120.044,0.658,0.832
2650,-10.69,0.979,101.565,0.23,0.361
2651,-4.05,0.035,101.984,0.858,0.756
2653,-7.153,0.431,109.935,0.496,0.574
2654,-9.569,0.0158,104.977,0.767,0.478
2655,-5.831,0.0503,100.965,0.916,0.556
2657,-4.481,0.00504,107.995,0.851,0.491
2658,-10.467,0.268,135.581,0.28,0.62
2661,-8.937,0.868,107.99,0.431,0.531
2663,-8.653,0.845,137.741,0.256,0.41
2664,-6.096,0.0332,130.062,0.844,0.484
2665,-8.819,0.478,140.005,0.585,0.762
2666,-3.663,0.267,135.991,0.788,0.81
2668,-7.699,0.613,94.321,0.522,0.561
2670,-6.842,0.0892,169.955,0.627,0.651
2674,-10.845,0.307,120.028,0.49,0.743
2677,-10.184,0.721,169.952,0.565,0.517
2679,-7.116,0.36,128.059,0.721,0.684
2680,-6.393,0.391,78.936,0.632,0.382
2683,-5.517,0.0564,110.017,0.838,0.748
2685,-10.987,0.524,138.933,0.526,0.472
2686,-3.8,0.0231,159.975,0.729,0.684
2687,-3.336,0.00219,126.988,0.874,0.788
2688,-3.904,0.00133,140.043,0.947,0.594
2690,-6.958,0.0137,90.098,0.639,0.547
2691,-15.43,0.982,126.813,0.1,0.397
2692,-6.328,0.379,117.188,0.65,0.535
2695,-6.401,0.106,144.855,0.715,0.755
2696,-6.193,0.000103,111.015,0.553,0.498
2697,-8.26,0.0955,117.919,0.431,0.622
2698,-10.341,0.337,126.024,0.66,0.779
2699,-3.995,0.00604,129.911,0.779,0.661
2703,-10.142,0.48,139.984,0.494,0.672
2705,-3.463,0.259,110.97,0.705,0.764
2706,-7.62,0.777,64.879,0.343,0.528
2707,-2.631,0.00064,147.124,0.93,0.375
2708,-4.384,0.424,122.925,0.706,0.756
2712,-7.726,0.145,103.007,0.694,0.79
2713,-10.846,0.619,110.425,0.594,0.805
2714,-4.095,0.17,140.022,0.762,0.663
2715,-6.302,0.0281,160.018,0.839,0.633
2716,-9.703,0.0762,159.976,0.812,0.66
2718,-3.68,0.289,167.238,0.593,0.528
2719,-3.213,0.116,142.942,0.831,0.718
2722,-8.058,0.538,120.099,0.39,0.649
2724,-18.411,0.975,115.011,0.209,0.715
2728,-7.564,0.088,105.217,0.528,0.415
2731,-11.165,0.602,91.386,0.554,0.547
2733,-11.008,0.679,87.549,0.378,0.362
2734,-8.302,0.472,75.07,0.33,0.335
2735,-11.787,0.616,107.626,0.344,0.528
2736,-7.588,0.611,98.014,0.548,0.594
2737,-9.102,0.719,132.207,0.644,0.429
2738,-5.924,0.431,118.477,0.818,0.644
2739,-7.568,0.506,102.713,0.447,0.666
2745,-5.57,0.413,82.061,0.553,0.494
2747,-9.165,0.307,151.96,0.531,0.603
2748,-11.344,0.0654,143.88,0.39,0.475
2749,-3.02,0.0154,120.037,0.98,0.546
2750,-2.506,0.0336,102.029,0.902,0.587
2751,-4.672,0.000924,139.937,0.862,0.554
2754,-7.343,0.264,126.058,0.585,0.8
2755,-3.985,0.00757,150.075,0.972,0.48
2758,-5.544,0.00847,115.954,0.828,0.657
2759,-5.893,0.195,149.972,0.679,0.689
2765,-8.596,0.981,82.331,0.278,0.371
2766,-6.566,0.384,107.02,0.578,0.821
2767,-8.948,0.807,63.378,0.267,0.459
2768,-9.84,0.229,93.034,0.657,0.565
2769,-7.457,0.573,150.027,0.598,0.787
2770,-4.635,0.329,107.997,0.837,0.63
2771,-6.356,0.0193,102.937,0.727,0.59
2772,-7.068,0.132,122.145,0.766,0.613
2773,-5.627,0.00793,126.041,0.808,0.72
2780,-7.899,0.178,129.972,0.39,0.843
2785,-6.754,0.0358,125.043,0.628,0.612
2786,-4.595,0.298,114.996,0.728,0.714
2788,-8.432,0.05,109.033,0.74,0.841
2791,-11.51,0.185,125.552,0.737,0.831
2794,-10.116,0.798,132.199,0.412,0.586
2797,-4.77,0.00226,119.976,0.738,0.721
2798,-4.382,0.935,120.416,0.27,0.712
2799,-3.72,0.249,162.11,0.741,0.722
2800,-6.434,0.209,80.012,0.629,0.509
2802,-7.855,0.732,119.935,0.545,0.758
2804,-4.465,0.462,101.99,0.877,0.697
2805,-4.898,0.619,101.058,0.592,0.881
2806,-4.898,0.619,101.058,0.592,0.881
2807,-4.487,0.15,122.023,0.809,0.736
2809,-8.839,0.644,143.173,0.477,0.663
2810,-6.142,0.25,140.042,0.658,0.8
2811,-7.04,0.00649,103.139,0.674,0.541
2812,-6.935,0.828,113.946,0.332,0.48
2813,-5.55,0.00096,142.981,0.791,0.535
2815,-8.812,0.463,100.063,0.725,0.764
2816,-7.346,0.365,74.897,0.545,0.479
2818,-5.018,0.716,150.267,0.569,0.655
2820,-6.594,0.726,97.944,0.39,0.797
2821,-6.297,0.698,98.0,0.407,0.827
2822,-5.371,0.0863,99.988,0.716,0.649
2823,-4.197,0.101,128.04,0.955,0.584
2826,-7.941,0.802,127.918,0.408,0.737
2827,-8.698,0.121,125.035,0.648,0.869
2829,-4.437,0.456,78.14,0.486,0.651
2830,-8.503,0.771,172.058,0.364,0.495
2831,-7.34,0.32,122.012,0.583,0.754
2832,-5.452,0.291,121.934,0.614,0.734
2833,-2.825,0.00761,139.997,0.91,0.615
2834,-5.941,0.0857,92.973,0.934,0.7
2839,-6.596,0.387,103.997,0.483,0.718
2840,-5.445,0.0132,159.927,0.52,0.611
2841,-5.187,0.186,79.982,0.49,0.7
2843,-3.848,0.00324,103.027,0.952,0.582
2845,-3.782,0.0375,107.991,0.877,0.747
2847,-3.782,0.0375,107.991,0.877,0.747
2849,-4.969,0.000421,129.983,0.832,0.7
2850,-3.087,0.00827,115.995,0.79,0.736
2851,-5.626,0.0452,133.182,0.836,0.653
2852,-7.578,0.092,136.003,0.702,0.803
2853,-8.384,0.466,106.178,0.401,0.531
2854,-8.098,0.91,93.039,0.224,0.492
2857,-8.523,0.515,98.219,0.242,0.633
2858,-6.027,0.239,106.044,0.498,0.879
2859,-5.456,0.323,85.501,0.563,0.685
2861,-5.877,0.196,150.978,0.634,0.423
2862,-7.299,0.274,72.536,0.486,0.645
2864,-12.325,0.484,100.337,0.264,0.488
2867,-4.48,0.0833,106.52,0.706,0.689
2868,-11.338,0.573,109.903,0.304,0.521
2869,-6.156,0.0102,97.512,0.712,0.705
2870,-8.554,0.746,145.879,0.292,0.5
2871,-4.456,0.13,105.085,0.694,0.573
2872,-5.177,0.0206,102.961,0.757,0.457
2873,-4.38,0.189,81.969,0.636,0.553
2874,-1.321,0.000593,115.005,0.981,0.822
2875,-6.111,0.213,100.023,0.676,0.69
2876,-9.059,0.113,165.909,0.54,0.625
2877,-12.059,0.838,82.582,0.313,0.767
2878,-5.656,0.259,94.841,0.779,0.584
2884,-8.715,0.544,119.901,0.512,0.684
2885,-6.614,0.363,139.968,0.718,0.835
2890,-12.581,0.389,112.015,0.37,0.735
2893,-7.002,0.0403,95.013,0.503,0.586
2897,-5.309,0.134,102.977,0.666,0.655
2900,-10.117,0.766,121.645,0.302,0.434
2901,-7.271,0.65,147.919,0.619,0.641
2902,-8.714,0.352,94.912,0.605,0.626
2904,-14.702,0.326,119.953,0.42,0.825
2905,-8.13,0.846,133.288,0.316,0.41
2906,-10.206,0.256,124.995,0.398,0.754
2908,-4.513,0.306,94.986,0.705,0.783
2909,-10.488,0.897,79.389,0.269,0.421
2910,-8.985,0.556,102.819,0.343,0.488
2915,-5.074,0.18,127.986,0.949,0.667
2916,-14.012,0.628,90.071,0.484,0.485
2919,-6.536,0.216,94.749,0.687,0.597
2920,-6.047,0.327,139.44,0.711,0.575
2921,-6.553,0.223,142.989,0.706,0.766
2922,-10.632,0.84,112.922,0.258,0.71
2924,-8.63,0.0536,129.943,0.509,0.61
2925,-6.273,0.45,147.02,0.537,0.752
2928,-5.786,0.000896,104.954,0.891,0.568
2929,-12.21,0.0933,100.966,0.671,0.658
2930,-7.968,0.261,105.0,0.603,0.724
2932,-6.996,0.51,90.024,0.454,0.632
2933,-5.662,0.115,100.083,0.799,0.584
2934,-9.22,0.333,84.974,0.511,0.513
2935,-12.127,0.00984,132.174,0.864,0.554
2936,-8.802,0.655,76.016,0.39,0.662
2939,-5.186,0.779,66.683,0.605,0.439
2941,-9.045,0.208,80.011,0.481,0.679
2942,-4.814,0.00453,126.03,0.894,0.495
2946,-3.049,0.105,98.013,0.85,0.738
2947,-10.175,0.181,115.125,0.82,0.613
2948,-7.306,0.262,90.045,0.642,0.647
2951,-4.3,0.0685,127.915,0.634,0.669
2953,-6.256,0.605,104.022,0.783,0.755
2954,-4.787,0.0928,133.188,0.657,0.546
2957,-15.33,0.927,78.233,0.141,0.609
2958,-8.823,0.202,161.667,0.585,0.564
2959,-5.531,0.203,119.936,0.587,0.827
2961,-10.093,0.649,120.045,0.466,0.604
2962,-6.827,0.184,121.078,0.704,0.636
2963,-8.598,0.588,149.712,0.372,0.548
2964,-4.085,0.295,98.036,0.785,0.776
2966,-12.52,0.864,121.095,0.324,0.395
2967,-7.018,0.678,119.99,0.438,0.745
2970,-8.7,0.294,130.088,0.414,0.625
2973,-12.006,0.43,84.46,0.537,0.647
2979,-4.997,0.218,124.099,0.703,0.716
2981,-7.813,0.512,78.786,0.492,0.548
2982,-7.839,0.00175,126.96,0.455,0.823
2984,-4.898,0.0797,121.972,0.866,0.653
2985,-9.758,0.174,130.06,0.385,0.581
2988,-6.349,0.0141,97.061,0.539,0.817
2990,-8.833,0.0053,122.088,0.433,0.633
2992,-11.88,0.492,122.035,0.422,0.785
2993,-9.998,0.161,140.026,0.554,0.831
2996,-4.082,0.00364,94.926,0.961,0.468
2997,-7.638,0.446,79.478,0.527,0.622
2998,-9.614,0.0424,97.011,0.314,0.908
3000,-9.581,0.608,75.012,0.456,0.589
3001,-6.117,0.0297,99.989,0.833,0.815
3002,-9.362,0.815,90.953,0.367,0.537
3003,-5.278,0.0016,81.045,0.679,0.638
3007,-4.656,0.0787,106.022,0.715,0.756
3008,-6.283,0.441,123.832,0.88,0.605
3010,-5.958,0.97,98.386,0.462,0.842
3012,-8.002,0.284,88.003,0.681,0.48
3013,-7.361,0.125,101.951,0.581,0.633
3017,-7.218,0.364,92.043,0.45,0.583
3018,-9.115,0.384,110.006,0.5,0.6
3020,-15.052,0.0134,82.759,0.407,0.514
3025,-3.93,0.0188,141.98,0.954,0.692
3026,-8.541,0.308,105.016,0.489,0.61
3027,-4.452,0.0128,103.014,0.799,0.606
3028,-8.558,0.755,98.003,0.389,0.721
3031,-7.602,0.38,106.995,0.616,0.688
3032,-11.89,0.701,74.002,0.422,0.559
3034,-4.118,0.101,104.014,0.794,0.738
3035,-6.138,0.225,102.046,0.714,0.737
3036,-3.551,0.0286,126.032,0.796,0.787
3037,-7.565,0.00045,106.392,0.791,0.355
3040,-5.46,0.00162,108.045,0.639,0.628
3041,-11.516,0.0891,158.86,0.533,0.617
3043,-7.478,0.674,169.882,0.515,0.524
3044,-4.25,0.341,165.245,0.699,0.522
3046,-5.522,0.0205,120.032,0.713,0.742
3047,-5.959,0.54,106.996,0.645,0.625
3050,-6.794,0.00997,111.002,0.687,0.825
3051,-5.88,0.617,112.011,0.525,0.676
3053,-8.109,0.829,104.887,0.439,0.733
3054,-8.633,0.0977,85.028,0.412,0.333
3055,-8.223,0.00645,126.042,0.673,0.817
3056,-5.281,0.417,110.015,0.616,0.795
3059,0.655,0.0268,120.021,0.982,0.717
3060,-7.014,0.606,82.995,0.774,0.659
3061,-2.946,0.661,89.842,0.859,0.467
3064,-7.865,0.458,119.961,0.737,0.548
3068,-6.757,0.143,139.78,0.791,0.569
3069,-11.804,0.548,75.965,0.526,0.652
3070,-8.132,0.183,113.429,0.781,0.659
3071,-4.261,0.00489,174.084,0.783,0.545
3072,-4.95,0.0273,88.145,0.787,0.426
3073,-7.235,0.0143,93.984,0.614,0.613
3075,-6.518,0.0184,111.995,0.674,0.756
3076,-8.543,0.0407,96.001,0.45,0.747
3077,-11.472,0.87,173.794,0.156,0.5
3078,-6.458,0.047,154.084,0.783,0.643
3079,-5.843,0.0141,102.027,0.791,0.541
3080,-5.937,0.754,115.069,0.537,0.797
3081,-8.579,0.484,114.986,0.506,0.731
3085,-7.93,0.0153,94.995,0.47,0.773
3086,-7.035,0.159,94.987,0.475,0.694
3087,-10.44,0.979,111.338,0.479,0.54
3088,-7.586,0.777,98.4,0.827,0.569
3092,-9.222,0.0584,129.942,0.699,0.526
3094,-6.306,0.00979,112.969,0.684,0.34
3095,-7.241,0.841,91.05,0.327,0.775
3099,-7.616,0.0616,115.044,0.694,0.748
3101,-6.116,0.235,170.018,0.68,0.549
3102,-12.009,0.933,120.141,0.103,0.488
3104,-6.217,0.714,74.977,0.444,0.46
3105,-4.952,0.125,148.128,0.662,0.555
3106,-2.881,0.414,115.061,0.973,0.68
3108,-12.312,0.578,93.922,0.606,0.554
3109,-2.141,0.0894,118.025,0.817,0.844
3110,-8.076,0.713,120.526,0.539,0.324
3111,-10.506,0.491,121.061,0.54,0.634
3112,-10.536,0.885,82.011,0.306,0.575
3114,-4.528,0.245,132.992,0.582,0.765
3115,-6.988,0.193,127.01,0.7,0.673
3120,-11.423,0.505,123.83,0.423,0.333
3121,-9.472,0.716,92.055,0.394,0.508
3122,-6.525,0.0161,105.009,0.712,0.526
3125,-13.223,0.705,129.81,0.24,0.659
3126,-9.334,0.532,79.526,0.645,0.664
3128,-9.048,0.777,171.719,0.351,0.497
3130,-6.52,0.11,173.995,0.678,0.69
3131,-9.854,0.403,114.941,0.37,0.754
3137,-4.819,0.0312,106.03,0.803,0.645
3139,-8.264,0.387,115.975,0.624,0.676
3140,-11.51,0.23,136.038,0.476,0.698
3141,-4.627,0.117,174.153,0.777,0.502
3142,-5.442,0.504,75.473,0.645,0.656
3143,-4.448,0.000501,154.914,0.763,0.466
3145,-3.109,0.107,140.009,0.807,0.476
3146,-7.453,0.229,126.054,0.498,0.734
3148,-4.426,0.0147,124.002,0.741,0.573
3150,-7.258,0.552,73.701,0.452,0.568
3151,-4.502,0.25,100.028,0.641,0.747
3152,-10.692,0.0141,173.979,0.66,0.527
3155,-10.038,0.115,151.98,0.374,0.689
3156,-7.159,0.248,95.003,0.587,0.732
3159,-5.21,0.0449,101.976,0.863,0.632
3160,-7.37,0.168,79.77,0.647,0.537
3161,-9.049,0.498,161.993,0.56,0.657
3162,-6.385,0.287,109.001,0.503,0.72
3163,-4.873,0.395,94.989,0.754,0.64
3164,-7.525,0.295,107.103,0.63,0.63
3167,-7.106,0.14,82.009,0.507,0.701
3169,-11.011,0.741,128.0,0.344,0.634
3170,-6.069,0.00439,143.993,0.855,0.664
3173,-3.978,0.0203,134.048,0.933,0.651
3175,-7.099,0.123,94.974,0.612,0.5
3177,-7.076,0.0676,145.765,0.383,0.652
3178,-3.712,0.0137,162.092,0.787,0.51
3179,-3.449,0.0493,78.532,0.845,0.369
3181,-7.157,0.903,137.743,0.405,0.602
3183,-3.671,0.174,91.007,0.716,0.701
3184,-8.452,0.192,135.915,0.461,0.667
3186,-9.644,0.898,162.351,0.236,0.319
3187,-10.937,0.61,153.989,0.336,0.842
3188,-5.987,0.0568,120.016,0.713,0.606
3189,-9.126,0.799,122.821,0.464,0.458
3190,-6.662,0.495,120.002,0.48,0.804
3193,-7.342,0.128,106.994,0.584,0.718
3194,-8.618,0.593,119.819,0.403,0.569
3195,-8.9,0.496,119.799,0.37,0.579
3197,-8.746,0.608,129.917,0.415,0.777
3198,-4.973,0.0275,123.077,0.741,0.646
3199,-7.645,0.0301,137.112,0.594,0.689
3200,-10.213,0.0599,124.986,0.322,0.827
3201,-5.875,0.00179,95.975,0.629,0.598
3206,-3.818,0.0904,129.915,0.631,0.797
3207,-7.239,0.236,87.724,0.428,0.494
3210,-6.332,0.15,128.015,0.737,0.507
3212,-5.446,0.132,80.281,0.812,0.492
3213,-5.408,0.0169,125.051,0.821,0.848
3214,-4.477,0.0111,128.047,0.758,0.722
3215,-5.638,0.163,134.809,0.653,0.523
3218,-10.661,0.918,96.677,0.37,0.341
3220,-13.124,0.4,118.169,0.469,0.614
3221,-8.084,0.61,130.16,0.507,0.537
3222,-0.514,0.00547,119.966,0.972,0.712
3225,-6.204,0.784,88.968,0.644,0.653
3226,-8.1,0.0773,124.89,0.427,0.718
3229,-5.874,0.321,144.074,0.938,0.754
3233,-10.417,0.000323,140.023,0.823,0.768
3235,-8.328,0.209,130.0,0.93,0.842
3238,-4.792,0.0215,94.006,0.702,0.688
3240,-12.1,0.83,71.454,0.185,0.328
3242,-10.359,0.102,114.947,0.605,0.58
3243,-8.742,0.569,143.783,0.474,0.691
3247,-9.558,0.0589,147.245,0.7,0.586
3250,-3.06,0.093,119.986,0.913,0.818
3251,-8.597,0.153,104.7,0.794,0.649
3252,-3.184,0.00419,154.034,0.948,0.533
3253,-7.957,0.393,76.006,0.494,0.747
3254,-5.669,0.00144,133.997,0.898,0.689
3260,-6.807,0.15,102.18,0.529,0.658
3261,-4.501,0.0876,145.948,0.755,0.66
3262,-6.016,0.369,95.947,0.593,0.667
3263,-8.936,0.24,137.034,0.487,0.768
3266,-6.085,0.296,113.979,0.628,0.866
3267,-6.411,0.0724,90.072,0.649,0.772
3268,-5.64,0.304,94.903,0.733,0.455
3270,-6.793,0.084,101.875,0.61,0.525
